net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,log R sq,log M sq,log RM,,,,
2,14,8,0.1,VI 70,257,1.6,1316,VI 70,190,0.533333333,557,0.131179522,0.477121255,0.373400694,612,0.017208067,0.227644692,0.062588538,,,,
2,14,9,0.1,VI 70,241,1.6,1244,VI 70,177,0.533333333,624,0.134043776,0.477121255,0.299635791,626,0.017967734,0.227644692,0.063955135,,,,
2,15,2,0.1,VI 95,135,0.533333333,517,VI 45,295,1.6,1524,-0.339488247,-0.477121255,-0.469494424,591,0.11525227,0.227644692,0.161977059,,,,
2,15,1,0.1,VI 95,123,0.533333333,457,VI 45,326,1.6,1630,-0.423312489,-0.477121255,-0.552271404,522,0.179193463,0.227644692,0.201971386,,,,
2,15,3,0.1,VI 95,130,0.533333333,481,VI 45,307,1.6,1560,-0.373195023,-0.477121255,-0.510979522,508,0.139274525,0.227644692,0.178059278,,,,
2,15,4,0.1,VI 95,151,0.533333333,516,VI 45,320,1.6,1570,-0.326173031,-0.477121255,-0.483249951,576,0.106388846,0.227644692,0.155624086,,,,
2,15,5,0.1,VI 95,158,0.533333333,525,VI 45,306,1.6,1466,-0.28706434,-0.477121255,-0.445974667,574,0.082405935,0.227644692,0.136964498,,,,
2,15,6,0.1,VI 95,142,0.533333333,465,VI 45,359,1.6,1751,-0.402806104,-0.477121255,-0.575833193,512,0.162252758,0.227644692,0.192187354,,,,
2,15,7,0.1,VI 95,147,0.533333333,469,VI 45,319,1.6,1578,-0.336473348,-0.477121255,-0.526934156,566,0.113214314,0.227644692,0.160538586,,,,
2,15,8,0.1,VI 95,139,0.533333333,487,VI 45,332,1.6,1640,-0.378123283,-0.477121255,-0.527314887,523,0.142977217,0.227644692,0.180410655,,,,
2,15,9,0.1,VI 95,144,0.533333333,511,VI 45,322,1.6,1552,-0.34949338,-0.477121255,-0.482470817,536,0.122145622,0.227644692,0.16675072,,,,
2,16,0,0.1,VI 95,146,0.64516129,589,VI 45,321,1.052631579,1264,-0.342152177,-0.212608093,-0.331631779,596,0.117068112,0.045202201,0.072744322,,,,
2,16,1,0.1,VI 95,158,0.64516129,594,VI 45,341,1.052631579,1298,-0.334097292,-0.212608093,-0.339488247,607,0.111621001,0.045202201,0.071031788,,,,
2,16,2,0.1,VI 95,154,0.64516129,627,VI 45,281,1.052631579,1119,-0.261185599,-0.212608093,-0.251562546,598,0.068217917,0.045202201,0.055530172,,,,
